_RAJ2000,_DEJ2000,WR,Name,Aname,RAJ2000,DEJ2000,r_Pos,r_FC,recno
309.181875,40.3520333,147,AS 431,,20 36 43.65,+40 21 07.32,WD97p,VI,215
310.3397917,52.5875556,148,AS 438,HIP 102088,20 41 21.55,+52 35 15.20,Hip,VI,216
316.7986667,48.4267222,149,ST 4,GSC 3592-6255,21 07 11.68,+48 25 36.20,GSC,VI,217
327.5232083,50.7068889,150,ST 5,GSC 3616-1163,21 50 05.57,+50 42 24.80,GSC,VI,218
332.3894583,57.7418611,151,,GSC 3977-0446,22 09 33.47,+57 44 30.70,GSC,VI,219
334.1002083,55.627,152,,GSC 3986-2068,22 16 24.05,+55 37 37.20,GSC,VI,220
334.6900417,56.1260833,153ab,,HIP 110154,22 18 45.61,+56 07 33.90,Hip,VI,221
336.82425,56.2532778,154,,HIP 110836,22 27 17.82,+56 15 11.80,Hip,VI,222
339.2248333,56.9058333,155,,HIP 111633,22 36 53.96,+56 54 21.00,Hip,VI,223
345.0422083,60.9273333,156,AC+60 38562-0,HIP 113569,23 00 10.13,+60 55 38.40,Hip,VI,224
348.8017083,60.4505278,157,,HIP 114791,23 15 12.41,+60 27 01.90,Hip,VI,225
355.8775,61.9300278,158,AS 513,HIP 117034,23 43 30.60,+61 55 48.10,Hip,VI,226
